"X.1.31..귀하의.성별은.","X.2.31..귀하의.학년은.","X.3.31...코로나.이전..귀하의.월평균.수입은.어느.정도였습니까.","X.4.31...코로나.팬데믹..귀하의.월평균.수입은.어느.정도입니까.","X.5.31...코로나.이전..귀하는.어디서.가장.많은.수입을.얻었나요.","X.6.31...코로나.팬데믹..귀하는.어디서.가장.많은.수입을.얻나요.","X.7.31...코로나.이전..귀하는.월평균.얼마.정도.지출하셨습니까.","X.8.31...코로나.팬데믹..귀하는.월평균.얼마.정도.지출하십니까.","X.9.31...코로나.이전..귀하의.음주.빈도는..1주일.기준.","X.10.31...코로나.팬데믹..귀하의.음주.빈도는..1주일.기준.","X.11.31...코로나.이전..귀하가.구매하는.월.평균.의복.지출의.개수는.","X.12.31...코로나.팬데믹..귀하가.구매하는.월.평균.의복.지출의.개수는.","X.13.31...코로나.이전..귀하의.온라인.장바구니에.담겨있는.물품의.개수는.어느.정도.있었습니까.","X.14.31...코로나.팬데믹..귀하의.온라인.장바구니에.담겨있는.물품의.개수는.어느.정도.있었습니까.","X.15.31...코로나.이전..귀하의.월.평균.의료.보건..비용은.","X.16.31...코로나.팬데믹..귀하의.월.평균.의료.보건..비용은.","X.17.31...코로나.이전..귀하의.월.평균.대중교통.비용은.","X.18.31...코로나.팬데믹..귀하의.월.평균.대중교통.비용은.","X.19.31...코로나.이전..귀하는.식사를.주로.어떻게.해결하셨습니까.","X.20.31...코로나.팬데믹..귀하는.식사를.주로.어떻게.해결하셨습니까.","X.21.31...코로나.이전..귀하의.자기.계발.지출.영역은.","X.22.31...코로나.팬데믹..귀하의.자기.계발.지출.영역은.","X.23.31...코로나.이전..귀하의.월.평균.휴대폰.통신.비용은.","X.24.31...코로나.팬데믹..귀하의.월.평균.휴대폰.통신.비용은.","X.25.31...코로나.이전..귀하의.주거.형태는.","X.26.31...코로나.팬데믹..귀하의.주거.형태는.","X.27.31...코로나.이전..귀하가.자주.지출하는.문화..레저.영역은.","X.28.31...코로나.팬데믹..귀하가.자주.지출하는.문화..레저.영역은.","X.29.31...코로나.이전..귀하가.구독한.OTT.서비스의.개수는..","X.30.31...코로나.팬데믹..귀하가.구독한.OTT.서비스의.개수는..","X.31.31..코로나.19.가.귀하의.소비.행태에.영향을.주었다고.생각하십니까."
"남",4,3,4,"아르바이트","공공근로(멘토링, 근로 장학 등)",3,5,2,3,"2","2","3","4","1","2","3","4","집에서 해 먹는다.","밖에서 먹는다.","전공 및 자격증 공부","전공 및 자격증 공부","3","3","자취","자취","영화","운동","0","1","4"
"남",4,3,3,"용돈(가족의 지원)","공공근로(멘토링, 근로 장학 등)",3,4,4,4,"2","3","4","4","3","3","3","3","배달 음식","집에서 해 먹는다.","체력 및 건강관리","체력 및 건강관리","2","2","자취","가족과 함께 지낸다","영화","게임","1","2","4"
"여",4,4,4,"용돈(가족의 지원)","용돈(가족의 지원)",4,5,3,2,"1","1","5","5","3","3","3","3","집에서 해 먹는다.","집에서 해 먹는다.","전공 및 자격증 공부","전공 및 자격증 공부","3","3","기숙사","자취","영화","게임","1","2","4"
"남",2,3,3,"아르바이트","아르바이트",4,3,4,3,"2","1","3","3","2","2","4","3","밖에서 먹는다.","밖에서 먹는다.","체력 및 건강관리","체력 및 건강관리","3","3","가족과 함께 지낸다","기숙사","운동","게임","2","3","3"
"남",2,3,3,"용돈(가족의 지원)","용돈(가족의 지원)",2,3,1,2,"2","1","2","2","2","2","3","3","밖에서 먹는다.","집에서 해 먹는다.","체력 및 건강관리","체력 및 건강관리","1","1","가족과 함께 지낸다","기숙사","영화","게임","0","0","3"
"남",2,1,1,"용돈(가족의 지원)","용돈(가족의 지원)",1,1,2,1,"3","2","3","2","3","2","2","2","밖에서 먹는다.","집에서 해 먹는다.","전공 및 자격증 공부","체력 및 건강관리","2","2","가족과 함께 지낸다","가족과 함께 지낸다","게임","운동","1","1","3"
"남",2,3,5,"아르바이트","아르바이트",2,3,5,3,"2","3","3","5","3","4","3","3","밖에서 먹는다.","배달 음식","예체능(음악, 미술)","예체능(음악, 미술)","3","3","가족과 함께 지낸다","가족과 함께 지낸다","전시회 및 콘서트(공연)","운동","2","1","5"
"남",2,1,1,"용돈(가족의 지원)","용돈(가족의 지원)",1,1,3,2,"2","2","1","1","1","1","3","2","밖에서 먹는다.","집에서 해 먹는다.","외국어 공부","체력 및 건강관리","1","1","가족과 함께 지낸다","가족과 함께 지낸다","영화","운동","1","1","3"
"남",4,5,5,"용돈(가족의 지원)","용돈(가족의 지원)",4,4,2,2,"1","1","1","1","5","5","2","2","배달 음식","배달 음식","전공 및 자격증 공부","전공 및 자격증 공부","3","3","자취","자취","게임","게임","1","1","4"
"남",4,5,5,"용돈(가족의 지원)","용돈(가족의 지원)",5,5,3,2,"1","1","2","2","2","2","2","2","밖에서 먹는다.","배달 음식","체력 및 건강관리","체력 및 건강관리","3","3","가족과 함께 지낸다","자취","영화","게임","0","1","4"
